Date,Ticker,Open,Close,Volume,Sector,Industry
2020-01-06,AAPL,73.45,74.95,118387200,Technology,Consumer Electronics
2020-01-07,AAPL,74.96,74.6,108872000,Technology,Consumer Electronics
2020-01-08,AAPL,74.29,75.8,132079200,Technology,Consumer Electronics
2020-01-09,AAPL,76.81,77.41,170108400,Technology,Consumer Electronics
2020-01-10,AAPL,77.65,77.58,140644800,Technology,Consumer Electronics
2020-01-13,AAPL,77.91,79.24,121532000,Technology,Consumer Electronics
2020-01-14,AAPL,79.18,78.17,161954400,Technology,Consumer Electronics
2020-01-15,AAPL,77.96,77.83,121923600,Technology,Consumer Electronics
2020-01-16,AAPL,78.4,78.81,108829200,Technology,Consumer Electronics
2020-01-17,AAPL,79.07,79.68,137816400,Technology,Consumer Electronics
2020-01-21,AAPL,79.3,79.14,110843200,Technology,Consumer Electronics
2020-01-22,AAPL,79.64,79.43,101832400,Technology,Consumer Electronics
2020-01-23,AAPL,79.48,79.81,104472000,Technology,Consumer Electronics
2020-01-24,AAPL,80.06,79.58,146537600,Technology,Consumer Electronics
2020-01-27,AAPL,77.51,77.24,161940000,Technology,Consumer Electronics
2020-01-28,AAPL,78.15,79.42,162234000,Technology,Consumer Electronics
2020-01-29,AAPL,81.11,81.08,216229200,Technology,Consumer Electronics
2020-01-30,AAPL,80.14,80.97,126743200,Technology,Consumer Electronics
2020-01-31,AAPL,80.23,77.38,199588400,Technology,Consumer Electronics
2020-02-03,AAPL,76.07,77.17,173985600,Technology,Consumer Electronics
2020-02-04,AAPL,78.83,79.71,136616400,Technology,Consumer Electronics
2020-02-05,AAPL,80.88,80.36,118826800,Technology,Consumer Electronics
2020-02-06,AAPL,80.64,81.3,105425600,Technology,Consumer Electronics
2020-02-07,AAPL,80.59,80.01,117684000,Technology,Consumer Electronics
2020-02-10,AAPL,78.54,80.39,109348800,Technology,Consumer Electronics
2020-02-11,AAPL,80.9,79.9,94323200,Technology,Consumer Electronics
2020-02-12,AAPL,80.37,81.8,113730400,Technology,Consumer Electronics
2020-02-13,AAPL,81.05,81.22,94747600,Technology,Consumer Electronics
2020-02-14,AAPL,81.18,81.24,80113600,Technology,Consumer Electronics
2020-02-18,AAPL,78.84,79.75,152531200,Technology,Consumer Electronics
2020-02-19,AAPL,80.0,80.9,93984000,Technology,Consumer Electronics
2020-02-20,AAPL,80.66,80.07,100566000,Technology,Consumer Electronics
2020-02-21,AAPL,79.65,78.26,129554000,Technology,Consumer Electronics
2020-02-24,AAPL,74.32,74.54,222195200,Technology,Consumer Electronics
2020-02-25,AAPL,75.24,72.02,230673600,Technology,Consumer Electronics
2020-02-26,AAPL,71.63,73.16,198054800,Technology,Consumer Electronics
2020-02-27,AAPL,70.28,68.38,320605600,Technology,Consumer Electronics
2020-02-28,AAPL,64.32,68.34,426884800,Technology,Consumer Electronics
2020-03-02,AAPL,70.57,74.7,341397200,Technology,Consumer Electronics
2020-03-03,AAPL,75.92,72.33,319475600,Technology,Consumer Electronics
2020-03-04,AAPL,74.11,75.68,219178400,Technology,Consumer Electronics
2020-03-05,AAPL,73.88,73.23,187572800,Technology,Consumer Electronics
2020-03-06,AAPL,70.5,72.26,226176800,Technology,Consumer Electronics
2020-03-09,AAPL,65.94,66.54,286744800,Technology,Consumer Electronics
2020-03-10,AAPL,69.29,71.33,285290000,Technology,Consumer Electronics
2020-03-11,AAPL,69.35,68.86,255598800,Technology,Consumer Electronics
2020-03-12,AAPL,63.99,62.06,418474000,Technology,Consumer Electronics
2020-03-13,AAPL,66.22,69.49,370732000,Technology,Consumer Electronics
2020-03-16,AAPL,60.49,60.55,322423600,Technology,Consumer Electronics
2020-03-17,AAPL,61.88,63.22,324056000,Technology,Consumer Electronics
2020-03-18,AAPL,59.94,61.67,300233600,Technology,Consumer Electronics
2020-03-19,AAPL,61.85,61.2,271857200,Technology,Consumer Electronics
2020-03-20,AAPL,61.79,57.31,401693200,Technology,Consumer Electronics
2020-03-23,AAPL,57.02,56.09,336752800,Technology,Consumer Electronics
2020-03-24,AAPL,59.09,61.72,287531200,Technology,Consumer Electronics
2020-03-25,AAPL,62.69,61.38,303602000,Technology,Consumer Electronics
2020-03-26,AAPL,61.63,64.61,252087200,Technology,Consumer Electronics
